ChildFocus Tuning Results — 2026-03-16 17:40:52.844445

WEIGHT TUNING (Block=0.75, Allow=0.35)
   Alpha     Beta         F1   Accuracy
     0.2      0.8     0.5880     0.6344
     0.3      0.7     0.5880     0.6344
     0.4      0.6     0.5880     0.6344
     0.5      0.5     0.5880     0.6344
     0.6      0.4     0.5880     0.6344
     0.7      0.3     0.5880     0.6344
     0.8      0.2     0.5880     0.6344

THRESHOLD TUNING (Alpha=0.4)
   Block    Allow         F1   Accuracy
    0.70     0.30     0.6046     0.6523
    0.70     0.35     0.5880     0.6452
    0.75     0.30     0.6034     0.6416
    0.75     0.35     0.5880     0.6344
    0.75     0.40     0.5818     0.6308
    0.80     0.35     0.5917     0.6344
    0.80     0.40     0.5857     0.6308
