video_id,text,label,title,trust_level
OIktUIEbbHA,kipper gets visitor kipper dog season full episode kids cartoon show kipper gets visitor kipper dog season full episode kids cartoon show kipper gets visitor kipper dog season full episode kids cartoon show subscribe fisher price let spend little less time growing little time growing,Educational,Kipper Gets a Visitor | Kipper the Dog | Season 1 Full Episode | Kids Cartoon Show,manually_labeled
B4mjJvPHMzQ,enjoy beautiful nature fruits world shorts enjoy beautiful nature fruits world shorts enjoy beautiful nature fruits world shorts enjoy beautiful nature fruits world shorts foryou gardening,Neutral,Enjoy beautiful nature with fruits world 😍🥰🥝🫐🍒🍓🍇🥑#161#shorts ...,handpicked
0XdD50jSDeI,trick treat halloween bedtime stories kids english fairy tales trick treat halloween bedtime stories kids english fairy tales trick treat halloween bedtime stories kids english fairy tales potion made witch fury poured dog dog turns giant candy loses dog word,Neutral,Trick or Treat | Halloween | Bedtime Stories for Kids in English | Fairy Tales,auto_labeled
iNhN4rPWwCI,draw godzilla draw godzilla draw godzilla learn draw simple version godzilla sure add background join art hub membership,Neutral,How To Draw Godzilla,auto_labeled
fU1KKvbCrRI,monkey banana dance baby monkey dance along song pinkfong kids songs monkey banana dance baby monkey dance along song pinkfong kids songs monkey banana dance baby monkey dance along song pinkfong kids songs get pinkfong plus days free coupon now watching monkey banana song educational,Overstimulating,Monkey Banana Dance | Baby Monkey | Dance Along Song | Pinkfong Kids Songs,auto_labeled
eZ4roKAkOEg,count song count plus counting songs number songs learning songs toddlers kids count song count plus counting songs number songs learning songs toddlers kids count song count plus counting songs number songs learning songs toddlers kids count song count counting songs number songs learning songs learning songs toddlers learning songs kids numbers songs count move preschool toddler learning videos learning videos kids learning videos toddlers learn count count count count dance number song toddler music class preschool music class baby music class number songs toddlers super simple songs mother goose club teach counting babies count song count counting songs number songs learning songs learning songs toddlers learning songs kids numbers songs count move preschool toddler learning videos learning videos kids learning videos toddlers learn count count count count dance number song toddler music class preschool music class baby music class number songs toddlers super simple songs mother goose club teach counting babies count move dance super fun counting songs kids toddlers video includes many counting songs number songs learning songs toddlers kids easy count rachel jules fun puppet friends love numbers learn,Educational,"Count to 20 Song - Count 1-20 plus Counting Songs, Number Songs, Learning Songs for Toddlers, Kids",handpicked
UladRA_7onQ,moms father day shorts moms father day shorts moms father day shorts,Neutral,My Moms on Father’s Day?! 🤦🏾‍♀️🤷🏽‍♀️🤣 #Shorts,handpicked
Tl0zhvkBqWE,overbuilt tomcat really overbuilt tomcat really overbuilt tomcat really simple history animated history educational education animation simple history animated history educational education animation video made possible thanks everyone simple history patreon check other channel discord server become simple history member,Educational,How overbuilt the F14 Tomcat really was,handpicked
e-wSeXPpL98,bring mars national reading month khan academy kids bring mars national reading month khan academy kids bring mars national reading month khan academy kids reading month asked team share favorite books khan academy kids app bring mars partnerships lead allison loves book because captures mix uncertainty excitement feel new experiences plus illustrations,Educational,What to Bring to Mars | National Reading Month | Khan Academy Kids,handpicked
Va9QHKI55rw,baby shark sick doesn want take medicine healthy habits song kids baby shark sick doesn want take medicine healthy habits song kids baby shark sick doesn want take medicine healthy habits song kids white sick doesn want take medicine family helps him take get well every baby shark first years,Overstimulating,BABY SHARK is SICK but he doesn’t want to take his medicine! - Healthy Habits Song for Kids,auto_labeled
d8mC6Apb6d8,rounding numbers song rd grade th grade rounding numbers song rd grade th grade rounding numbers song rd grade th grade extend video lesson unique worksheets activities quizzes only available travel around world rounding numbers nearest tens hundreds place cover important rd th grade standards round digit numbers air sea,Educational,Rounding Numbers Song | 3rd Grade - 4th Grade,handpicked
ejGg-c6ykj4,sharing caring chris mike playroom adventure sharing caring chris mike playroom adventure sharing caring chris mike playroom adventure vlad niki kids kids playing video kids kids stories learn toys kids toys chris kids fun family learn share share toys share sharing caring kids learn share vlad niki kids kids playing video kids kids stories learn toys kids toys chris kids fun family learn share share toys share sharing caring kids learn share chris mike don want share toys uncle helps children show important share sharing caring chris mike playroom adventure shark swimming pool other stories kids kids learn safety rules pool kids learn firefighti,Overstimulating,Sharing is Caring: Chris and Mike’s Playroom Adventure,handpicked
nOngPYhLF3E,dancing shapes learn shapes sing along hogi shapes adventure pinkfong hogi dancing shapes learn shapes sing along hogi shapes adventure pinkfong hogi dancing shapes learn shapes sing along hogi shapes adventure pinkfong hogi hogi pinkfong kids children wonderstar babies baby shark songs kids songs preschoolers education kids education education children preschool learning videos kids kids videos kids animation toys pinkfong friend pinkfong animation animation kids stories kids kids stories creativity learning english lagu anak anak tarian cerita historia canci infantil animaci animasi colores nh thi nhi nyanyi forkids hogi pinkfong kids children wonderstar babies baby shark songs kids songs preschoolers education kids education education children preschool learning videos kids kids videos kids animation toys pinkfong friend pinkfong animation animation kids stories kids kids stories creativity learning english lagu anak anak tarian cerita historia canci infantil animaci animasi colores nh thi nhi nyanyi forkids subscribe watch new videos uploaded every week youtube channel enjoy new sing along series time hogi back shapes numbers adventure listen dancing shapes hogi pinkfong check,Educational,Dancing Shapes | Learn Shapes | Sing Along with Hogi 5 | Shapes and Adventure | Pinkfong & Hogi,handpicked
4p0_ChAS8gA,quick name minecraft girl quick name minecraft girl quick name minecraft girl aphmau minecraft minecraft funny minecraft mods minecraft aphmau aphmau pranks aphmau minecraft pranks aphmau gaming aphmau games aphmau pranks friends aphmau playing aphmau aaron aphmau minecraft minecraft funny minecraft mods minecraft aphmau aphmau pranks aphmau minecraft pranks aphmau gaming aphmau games aphmau pranks friends aphmau playing aphmau aaron don fall guys come take look merch instagram friends aaron jason bravura zane kestin howard kc megamoeka kim corinne sudberg official minecraft product approved,Overstimulating,QUICK! Name A Minecraft Girl!,handpicked
HktVYkr-Q0Y,study wm aesthetic study studywithme minivlog eshindiary srilanka youtubeshorts asmr study wm aesthetic study studywithme minivlog eshindiary srilanka youtubeshorts asmr study wm aesthetic study studywithme minivlog eshindiary srilanka youtubeshorts asmr dayinmylife studyvlog dailyvlog studymotivation aestheticvlog schoolvlog bcktoschool dayinmylife studyvlog dailyvlog studymotivation aestheticvlog schoolvlog bcktoschool study studywithme studyvlog studymotivation studymusic studytips studying students aestheticvlog dailyvlog dayinmylife cozy morningroutine morningmotivation korean koreanstyle koreanstudy chinesestudy studentlife studentmotivation studentsuccess studentslife backtoschool grwm,Neutral,Study wm🎧📝🖇️#aesthetic #study #studywithme #minivlog #eshindiary #srilanka #youtubeshorts #asmr,handpicked
