video_id,title,description,tags,channel,query_used,label,trust_level
9pvWCVEI12I,Lucas Dancing | Jingle Bells Christmas Song For Kids | Lucas &amp; Friends by RV AppStudios #Shorts,Lucas is hitting the dance floor with some crazy and funny moves! Get the holiday started off right by joining Lucas in his ...,,Toddler Learning Videos For Kids - Lucas & Friends,kids fast cartoon compilation,Overstimulating,auto_labeled
qCs0pm_D_hM,Colors for Children | Toy Trains - Colors Videos Collection,Colors for Children | Toy Trains - Colors Videos Collection 00:00 - Colors for Children to Learn with Toy Trains 03:00 - Colors with ...,,Super Kids TV,kids fast cartoon compilation,Overstimulating,manually_labeled
KbnJpszA53U,Ok Red! Time to take you out for a drive... #shorts | Car songs for children - HeyKids,"Check out our new song, I'M A CAR ▷ https://www.youtube.com/watch?v=4dmjNjHpMoI (  ) Subscribe now ...",,HeyKids - Nursery Rhymes,kids fast cartoon compilation,Overstimulating,auto_labeled
5f3ZPnEZgoI,Blippi Learns About Super Fast Race Cars! | Blippi Wonders - Animated Series | Cartoons For Kids,"Blippi and D.BO head to the racetrack and meet Ricardo, a very fast talking, and even faster driving, Formula 1 race car who ...",,Blippi - Educational Videos for Kids,kids fast cartoon compilation,Overstimulating,auto_labeled
vAL6ZQcIU3M,Poco menari tantangan! Wipe It Down #Shorts,Berlangganan saluran YouTube resmi Tayo the Little Bus Bahasa Indonesia ...,,Tayo Bus Kecil - Tayo Bahasa Indonesia,kids fast cartoon compilation,Overstimulating,auto_labeled
txFlqWLCaEw,Fastest Thing Alive (Sonic and Mario Animation),sonicthehedgehoganimation #sonic #mario #meme #animation #sonicthehedgehog #gottagofast Music @SiIvaGunner.,,RavenTL,kids fast cartoon compilation,Overstimulating,auto_labeled
-UeZjbYEnNs,F.A.S.T. - All episodes collection (1-3) - Animated series 2018 Moolt Kids Toons,"New great series ""F.A.S.T.""! Subscribe and wait for new episodes▻https://goo.gl/vjd2VO For many years, two clans ruled by super ...",,Moolt Kids Toons Happy Bear,kids fast cartoon compilation,Overstimulating,auto_labeled
2kyYxwGMECo,🚽 Skibidi Toilet BABIES?! 🍼 (Cartoon Animation),SUBSCRIBE to the Channel! - https://www.youtube.com/channel/UCToxKVrkEuAONR4rFIJ_DyQ?sub_confirmation=1 Watch as ...,,GameToons,kids fast cartoon compilation,Overstimulating,auto_labeled
f1fwb2FMua8,This is the way eat and drink! Sleepy Baby #shortcartoon #shorts #cartoonshorts #kidssong #kids,This is the way eat and drink! Sleepy Baby #shortcartoon #shorts #cartoonshorts #kidssong #kids Subscribe for more nursery ...,,Baby Berry Nursery Rhymes Kids Songs,kids fast cartoon compilation,Overstimulating,auto_labeled
1_Rcl2QsYJo,Whose Car Is Faster? | Pinkfong Wonderstar | Animation &amp; Cartoon For Kids | Pinkfong Hogi,[NEW CHANNEL] Subscribe Bebefinn - Nursery Rhymes & Kids Songs ...,,Hogi! Pinkfong - Learn & Play,kids fast cartoon compilation,Overstimulating,auto_labeled
mS2MkVtbP28,Lollipop Song | Nursery Rhymes &amp; Kids Songs by Peppa Pig,Lollipop Song | Nursery Rhymes & Kids Songs by Peppa Pig More Nursery Rhymes: https://bit.ly/3XTy4PV #NurseryRhymes ...,,Peppa Pig - Nursery Rhymes and Kids Songs,kids fast cartoon compilation,Overstimulating,auto_labeled
TvE6ohietK4,🚗 Pocoyo&#39;s New RACECAR - The Fastest Car in HISTORY?! | Pocoyo English | Cartoons for Kids,NEW POCOYO WEBSITE: https://www.pocoyo.com/ POCOYO MUSIC: https://pocoyo.lnk.to/EnglishOfficialYT ☀️ AROUND ...,,Pocoyo English - Official Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
6Xs0PM7PYMg,Wheels on the Train #nurseryrhymes #babysongs #cartoonvideos #littletreehouse #kidsmusic #shorts,Hi Kids! Watch this Nursery Rhymes Collection by Little Treehouse! We hope you enjoy watching this animation as much as we ...,,Little Treehouse Nursery Rhymes and Kids Songs,kids fast cartoon compilation,Overstimulating,auto_labeled
zamt_1PAwqE,The Joy of Sharing Short Episode |  Fun Learning Video For Children | Good Habits Show,Subscribe Now for more funny shorts! → https://www.youtube.com/channel/UCCc1DMB-AcOssKJ7KweLXBg?sub_confirmation=1 ...,,Videogyan Kids - Cartoon Shows,kids fast cartoon compilation,Overstimulating,auto_labeled
amyV8XIJwRE,🏁 POCOYO RACING! | Drive Fast With Pocoyo &amp; Friends! | Pocoyo English | Cartoons for Kids,Time for a race with Pocoyo -get in your car and let's drive! NEW POCOYO WEBSITE: https://www.pocoyo.com/ POCOYO ...,,Pocoyo English - Official Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
y9jxl8pQiSk,Blippi vs. Meekah Toy Car Race #shorts,For more Meekah and Blippi videos be sure to SUBSCRIBE!,,Meekah - Educational Videos for Kids,kids fast cartoon compilation,Overstimulating,manually_labeled
LpxP-LBh3Vg,SHORTS CHICKY | CHICKY&#39;S FAVORITE SONG | Where&#39;s Chicky #shorts,Subscribe and discover new videos every week → https://bit.ly/2ZkCki9 Welcome to Chicky's official YouTube Shorts channel!,,Chicky #Shorts,kids fast cartoon compilation,Overstimulating,auto_labeled
GfiokH-fNtQ,PJ Masks | Catboy Squared? | #shorts #pjmasks,Brand NEW Episodes only on Disney Junior ▻Subscribe for more PJ Masks videos: http://bit.ly/2gsj5gv PJ Masks Power Heroes ...,,PJ Masks Official,kids fast cartoon compilation,Overstimulating,auto_labeled
Qc4JG3fqB1k,🏎️🎉 Fast Lane Frenzy  | ANTIKS | Moonbug Kids - Funny Cartoons and Animation,Click the link to subscribe for more! https://www.youtube.com/channel/UCvFZsr4jhiDwul2Z7Oi5tpQ?sub_confirmation=1 Moonbug ...,,Moonbug Kids - Funny Cartoons & Animation,kids fast cartoon compilation,Overstimulating,auto_labeled
yvUGdsjPPGI,The Olden Days 🐷 Peppa Pig Official Channel Family Kids Cartoons,ExpectingPigChanges ❤️ Watch more Peppa here! http://bit.ly/PeppaPigYT #Peppa #PeppaPig #Preschool #Toddlers ...,,Peppa Pig - Official Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
VPXS2o6wtG0,"Forget Subways, It&#39;s Tongue Surfing! 👅 (animation meme) #boyanddragon #shorts",Boy plays a Dentist check up themed Endless Runner Mobile App. ⚔️ Watch new episodes for 2023 here: https://bit.ly/3LBEM8A ...,,Boy & Dragon - WildBrain,kids fast cartoon compilation,Overstimulating,auto_labeled
_HviSyC7zSU,🔴 LIVE! Phineas and Ferb Season 1 Full Episodes! | @disneychannelanimation  ​,Ferb! I know what we're gonna do today! Watch the full first season of Phineas and Ferb! Season 1 Episode 1 Rollercoaster ...,,Disney Channel Animation,kids fast cartoon compilation,Overstimulating,auto_labeled
BZkDft_-blY,Man Vs Cartoon Characters (animation meme) #boyanddragon #shorts,Watch new episodes for 2023 here: https://bit.ly/3LBEM8A ⚔️ Watch every episode here: https://bit.ly/425TgEz ⚔️ Subscribe to ...,,Boy & Dragon - WildBrain,kids fast cartoon compilation,Overstimulating,auto_labeled
6INWfRK9vEI,"1, 2, 3, 4, 5…🖐️🖖 #Whatsinside #MashaAndTheBear #Shorts #cartoonforkids #kids",What's inside? (Episode 81) https://youtu.be/i6zMlnCj3J8 Masha and the Bear. All new episodes here ...,,Masha and The Bear,kids fast cartoon compilation,Overstimulating,auto_labeled
NsCd95Du-O8,Pencilmate&#39;s Fast Ride DOWN UNDER! | Animated Cartoons Characters | Animated Short Films,Pencilmate's Fast Ride DOWN UNDER! | Animated Cartoons Characters | Animated Short Films NEW PLUSHIES AND MERCH ...,,Pencilmation,kids fast cartoon compilation,Overstimulating,auto_labeled
8x654WuhzKY,Let&#39;s Jump in Muddy Puddles,Subscribe for More: https://bit.ly/PeppaPigOfficialShorts #peppa #shorts #peppapig.,,Peppa Pig - Official Shorts Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
3Vk2tpSOR1o,Sing Along with Grandpa&#39;s Little Train!,Watch more Peppa here! http://bit.ly/PeppaPigYT #Peppa #PeppaPig #PeppaPigEnglish Jump into the World of Peppa Pig – filled ...,,Peppa Pig - Official Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
d7gxxYoO2BI,Fast Food | Oddbods  | Funny Cartoons For Kids | Compilation,"Hello, Hola, Halo! Join the ODDBODS, 7 rainbow friends on their fun filled adventures in Oddbods! SUBSCRIBE for FUNNY new ...",,Oddbods & ARPO The Robot - Funny Cartoons for Kids,kids fast cartoon compilation,Overstimulating,auto_labeled
yoFoByCT-hI,Fast And Fearless + More Animated Cartoon videos for Toddlers by Road Rangers,Hi Kids! Let's ride with The Road Rangers in their fleet of superhero trucks and animated vehicles as they get into tricky situations ...,,Road Rangers - Cartoon Kids Videos & Stories,kids fast cartoon compilation,Overstimulating,auto_labeled
daF8jQ6os7I,Fast And Fearless | Road Rangers | Car Cartoons For Kids,Apples & Bananas Kids Game Learning App is now LIVE on App Store! DOWNLOAD NOW ...,,Kids Channel - Cartoon Videos for Kids,kids fast cartoon compilation,Overstimulating,auto_labeled
GuNZttnNXZU,Wash your hands - We are hands song - Magic Soap - Wash us - Kids - Nursery Rhymes - #shorts,"shorts Healthy habits are good! Those hands are really smart, right? Wash your hands - always a good idea before lunch time ...",,Genki Park,kids fast cartoon compilation,Overstimulating,auto_labeled
vKBvhca1rwM,Peppa Jumps in a Muddy Puddle #shorts,Watch more Peppa here! http://bit.ly/PeppaPigYT https://www.youtube.com/watch?v=qF_vNYSmbKQ #Peppa #PeppaPig ...,,Peppa Pig - Official Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
_Tr9Ncoo-yw,Are We There Yet? | CoComelon Nursery Rhymes &amp; Kids Songs,This is a very long car ride! What fun things can we look for out the window that will make the time go faster?,,Cocomelon - Nursery Rhymes,kids fast cartoon compilation,Overstimulating,manually_labeled
lYKYG8XDs-0,F.A.S.T. - All episodes collection (4-6) - Animated series 2018 Moolt Kids Toons,"New great series ""F.A.S.T.""! Subscribe and wait for new episodes▻https://goo.gl/vjd2VO For many years, two clans ruled by super ...",,Moolt Kids Toons Happy Bear,kids fast cartoon compilation,Overstimulating,auto_labeled
_bw3Lr3E7mA,Dance Along with Elmo! 🎶 #sesamestreet,It's party time! Do the Elmo Slide with Elmo! Subscribe to the Sesame Street Channel here: ...,,Sesame Street,kids fast cartoon compilation,Overstimulating,auto_labeled
wXasbQBwdDE,The Land Before Time | The Missing Fast-Water Adventure | Compilation | Kids Cartoon | Kids Movies,Watch More The Land Before Time All Videos: ...,,The Land Before Time,kids fast cartoon compilation,Overstimulating,auto_labeled
Ow62dXcu5uw,(NEW) Fast Ride with Bekky | Where&#39;s Chicky? | Cartoon Collection in English for Kids | New episodes,Subscribe and discover new videos every week → http://bit.ly/ChickyEN Welcome to Chicky's official YouTube channel! #Chicky ...,,Where's Chicky? - Cartoon in English,kids fast cartoon compilation,Overstimulating,auto_labeled
4MRzkUVS-5M,Fastest CARTOON CAR? - Kids Animation Cartoon - Learn Colors Cartoon with Cartoon Cars,Which is the fastest cartoon car? And which colour cartoon car will win this special race? Cartoons for kids to learn shapes and ...,,PloopChannel,kids fast cartoon compilation,Overstimulating,auto_labeled
fZAfRHNI75A,Peppa on her Scooter,Subscribe for More: https://bit.ly/PeppaPigOfficialShorts #peppa #shorts #peppapig.,,Peppa Pig - Official Shorts Channel,kids fast cartoon compilation,Overstimulating,auto_labeled
MpmfD9JvXl4,Sunny Bunnies | The Fastest Bunny | SUNNY BUNNIES COMPILATION | Cartoons for Children,Watch more cartoon animals for children videos here: ...,,WildBrain Zoo,kids fast cartoon compilation,Overstimulating,auto_labeled
QWG61ZOFoGc,F.A.S.T. ⚡Best episodes ⚡ Best cartoons collection 🐱 Moolt Kids Toons Happy Bear,"New great series ""F.A.S.T.""! SUBSCRIBE and watch more new cartoons ▻https://goo.gl/vjd2VO ❤️The Best of Moolt Kids Toons ...",,Moolt Kids Toons Happy Bear,kids fast cartoon compilation,Overstimulating,auto_labeled
i_Df8jZdEak,The Land Before Time | The Missing Fast-Water Adventure | Compilation | Kids Cartoon | Kids Videos,Watch More The Land Before Time All Videos: ...,,The Land Before Time,kids fast cartoon compilation,Overstimulating,auto_labeled
