video_id,title,description,channel,query_used,label
lKJwnrWQn9Y,Preschool Learning activities for 3 year olds at home | Learn ABC Phonics Shapes Numbers Colors 🌈,preschoollearning #kidslearning #toddlerlearning Preschool Learning activities for 3 year olds at home | Learn ABC Phonics ...,The Soft Roots,kids educational videos,
lA6ONFMTdwE,Walking Walking | Kids Learn Traffic Safety Rules | Nursery Rhymes &amp; Songs #shorts,Subscribe for new videos every week! https://www.youtube.com/channel/UCXIvAXVdbUDzIFhVwB9RR-g?sub_confirmation=1 ...,Sheriff Labrador - Kids Cartoon,kids educational videos,
MYymQoWYb4w,Learn Colors! 🍦🌈 Education for Kids!,Yum! Let's learn colors with tasty ice cream scoops. Can you name all the colors? Join the fun with CoComelon! #cocomelon ...,Cocomelon - Nursery Rhymes,kids educational videos,
hTqtGJwsJVE,"Baby Learning With Ms Rachel - First Words, Songs and Nursery Rhymes for Babies - Toddler Videos","Have your baby or toddler learn with a real teacher, Ms Rachel! In this video Ms Rachel will teach key milestones and model ...",Ms Rachel - Toddler Learning Videos,kids educational videos,
WOn8gdKrZzY,"Toddler Learning First Words, Colors, ABCs &amp; Songs | Baby Learning Video with Lucas for Preschoolers","Enjoy an exciting educational video for toddlers and preschoolers, perfect for first words for toddlers and first words for baby as ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
seIckVcmv_s,🏊🏾 🛟 OmoBerry&#39;s Water Safety Video + Water Safety Rules + Water Safety For Kids #drowningprevention,"In loving memory of Aliyah Williams of Rochester, NY Help your kids and students learn how to become water safety superheroes ...",OmoBerry,kids educational videos,
noCiE_1YRJo,"Toddler Learning Counting, Shapes, ABC, First Words For Kids, Toddler Videos &amp; Baby Songs With Lucas","Get ready for a fun and educational adventure with Lucas & Friends! This toddler learning video is packed with first words, kids ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
O8389suK0JY,Learn at the Harbour | Sea Animal Names for Kids: Jellyfish Shark Horseshoe Crab Hammerhead Shrimp,"Say and repeat the names of each animal for babies, toddlers, preschoolers, kindergarteners, kids. This video supports language, ...",Ed bot TV,kids educational videos,
OTuph9pJWU4,Best Learning Videos For Kids | The Dr.Binocs Show | Fun Learning Videos For Kids | By Peekaboo Kids,Best Learning Videos For Kids from The Dr.Binocs Show Fun Learning Videos For Kids By Peekaboo Kids Share on Facebook ...,Peekaboo Kidz,kids educational videos,
0GTBjMEAmB8,Learn at the Double Waterfall | Sea Animal Names for Kids: Octopus Crab Lion Fish Pufferfish Turtle,"Say and repeat the names of each animal for babies, toddlers, preschoolers, kindergarteners, kids. This video supports language, ...",Ed bot TV,kids educational videos,
5ajRc-YvLhg,Best Learning Videos for Toddlers | Learning Colors and Shapes for Kids with Wooden Truck Toy,Learn Colors and Shapes for Kids with Wooden Truck Toy in this amazing collection of fun learning videos for kids and children ...,KidsCamp Nursery Rhymes & Learning Videos for Kids,kids educational videos,
IIiet2JJVcA,"Toddler Learning Numbers, Colors For Kids, ABC Song, Toddler and Baby Learning With Lucas &amp; Friends","Welcome to a fun-filled learning adventure with Lucas & Friends! This toddler learning video is designed for toddlers, babies, ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
V07skLueGVU,Learn Sea Animal Names at the Rock Pool for Kids: Seal Manta Ray Turtle Shark Horseshoe Crab,"Say and repeat the names of each animal for babies, toddlers, preschoolers, kindergarteners, kids. This video supports language, ...",Ed bot TV,kids educational videos,
4NkNrGwqsiE,Learn Shapes &amp; Numbers Wooden Slider Tumbling Toys | Preschool Kids Learning 3D Educational Toddler,Watch Learn Shapes & Numbers Wooden Slider Tumbling Toys | Preschool Kids Learning 3D Educational Toddler. #learnshapes ...,Super Crazy Kids,kids educational videos,
ILPjPIFNsRA,"Learn Letters, Chain Reactions, Physics, Recycling and more | 7 Cartoons with Max and Friends!","This educational compilation includes 7 short cartoons with Max the Glow Train and Friends! 1. ""Chain Reactions"" - Max the Glow ...",coilbook™ | Learning For Children,kids educational videos,
XSun4GUyhuY,Preschool Learning activities for 3 year olds at home | Learn ABC Phonics Shapes Numbers Colors 🌈,preschoollearning #kidslearning #toddlerlearning Preschool Learning activities for 3 year olds at home | Learn ABC Phonics ...,The Soft Roots,kids educational videos,
50HbumBoe1Q,Toddler Learning Video With Lucas &amp; Friends | Fun Educational Video for Toddlers To Learn New Words,"Help your toddler learn new words, join Lucas and Ruby from Lucas & Friends as they teach new words while making your toddler ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
FXjC69MmcPY,"🌈🎵 Learn, Sing, and Explore! Preschool Fun on the Farm &amp; Under the Sea, Toddler English Learning 🌊🐄","Welcome to a 40-minute adventure filled with fun learning, singing, and exploring! This exciting preschool educational video is ...",Little Bee Library - Videos for #LibraryKids!,kids educational videos,
_BHjXykHhYU,Kindergarten Sight Words: Yes | ABCmouse #learning #education #sightwordsforkids #kindergarten,Visit https://ABCmouse.com/LearnMore to find out more about our award-winning online learning program for children 2–8!,ABCmouse,kids educational videos,
fUkTKDeHDQw,Preschool Learning activities for 3 year olds at home | Learn ABC Phonics Shapes Numbers Colors 🌈,preschoollearning #kidslearning #toddlerlearning Preschool Learning activities for 3 year olds at home | Learn ABC Phonics ...,The Soft Roots,kids educational videos,
WhhPGrWxWsI,Harbour Learning | Sea Animal Names for Kids: Pufferfish Clownfish Cuttlefish Sea Lion Whale,"Say and repeat the names of each animal for babies, toddlers, preschoolers, kindergarteners, kids. This video supports language, ...",Ed bot TV,kids educational videos,
4HUCJliVbsw,The Best of Toddler Fun Learning | Learning Videos For Toddlers,"This extra long 60 minute video is perfect for learning to count, learning colours, shapes, vehicles, the alphabet and animal names ...",Toddler Fun Learning,kids educational videos,
TyV-OhCrVDA,"Learn Colors, Fruits and Vegetables with Ms Rachel | Toddler Learning Video | Speech | Educational","Have your toddler learn with a real teacher, Ms. Rachel! In this Toddler Learning Video, your child will learn colors, fruits, ...",Ms Rachel - Toddler Learning Videos,kids educational videos,
50klx9Q5ls8,"Baby Learning Videos | Babies and Toddlers Learn Colors, First Words, Shapes, ABC | Lucas &amp; Friends",Get ready for a mega-dose of early education for kids with Lucas & Friends! ✏️ This time around it's a huge educational ...,Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
mJaxCjNJDww,"Learning Videos for Toddlers | Counting, ABC &amp; Learn Colours | Learn English For Kids",These fun filled learning videos for toddlers will help children learn to count 1 - 10 with fun loving animals from Number Farm and ...,Toddler Fun Learning,kids educational videos,
XhSvTHsNtVg,Baby Learning First Words | Learn to Talk For Babies | Toddler Videos &amp; Songs With Lucas &amp; Friends,"Grab the kids and turn up the volume, it's time to learn with Lucas & Friends! The latest toddler learning video features so many ...",Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,
ibwyHihda6A,"Baby Learning Colors, Shapes, Numbers, Alphabet, Fruits, Veggies, Dinosaurs &amp; Animals - 60 Min","Watch Baby Learning Colors, Shapes, Numbers, Alphabet, Fruits, Veggies, Dinosaurs & Animals - 60 Min. This fun-filled ...",Super Crazy Kids,kids educational videos,
BihhMsr4CCk,"Toddler Learning Videos | Kids Learn to Count, Shapes &amp; Colors Educational Videos For Toddlers",Join us for weekly educational play learning adventures that help your little one grow! We use popular toys for kids to teach ...,Kids Learn and Grow - Educational Videos,kids educational videos,
UuLZ27M6JCo,"Learning Collection by Brain Candy TV |Vol 1| Learn English, Numbers, Colors and More","Download our videos for ad-free, offline viewing at: http://www.braincandytv.ca/shop/ A compilation of 16 of our educational videos ...",Brain Candy TV,kids educational videos,
q6WW1QsmcyM,Count the Jello! 🍮😀 Kids Learning Video,Watch the colorful jello fall and count along with JJ! ✨ What's your favourite flavour? #cocomelon #kidsvideo #shorts Subscribe ...,Cocomelon - Nursery Rhymes,kids educational videos,
