video_id,title,error
e87xaEjYMtg,Peanut Butter And Jelly 🥜 🍇 #shorts #supersimplesongs #kidssongs,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
X0SpQyIHVXQ,What is in the fridge? 🐧,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
gDInVjBUGC0,ELS: Phase 3 pronunciation,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
bWAIgN_DTxo,Everything You Need to Know About K2-18b - Part 3!  | KLT #space #solarsystem #kidseducation,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
IzkmfRTktWc,Building Squares from Odd Numbers 1: Numerically,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
rifuEZFieaI,SUSTAINABLE DEVELOPMENT |#climatechange & #sustainability  | #shorts | FuseSchool,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
yTXtTX3t8fM,9.1 LogicLike - Educational games,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
xw4BPniE2m4,This Ruthless Spider Is the Master of the Jump Scare | #DeepLook #Shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
23C5twKp72Q,Meet the Shapes | 'Rectangle' Dance | Preschool Prep Company #shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
gB1dNEkogYk,Certified BOP,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
9M4JWcKEdL0,Three Space Weather Missions Lift Off,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
Oyu80bhbrNk,Screen Time That Earns Its Place,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
CYEyoUUfA8A,Routines That Build More Than Content Knowledge,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
NkY57mizvMI,🐯 Meet TINKER! 🐯 | Your Favorite Farm Explorers Characters | Baby Einstein | #Shorts,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
UpDPJICdhhg,6.6 LogicLike - Educational games,"The request cannot be completed because you have exceeded your <a href=""/youtube/v3/getting-started#quota"">quota</a>."
