video_id,title,description,tags,channel,query_used,label,trust_level
NIclGqWPljM,Blippi&#39;s Volcano Science Experiment! 3-2-1💥! #Blippi #shorts #experiment,It's the Summer of Learning with Blippi! Let's do science experiments together! Blippi makes a volcano erupt using a Volcano kit.,,Blippi - Educational Videos for Kids,kids science experiments,Educational,auto_labeled
B4mjJvPHMzQ,Enjoy beautiful nature with fruits world 😍🥰🥝🫐🍒🍓🍇🥑#161#shorts ...,Enjoy beautiful nature with fruits world 😍🥰🥝🫐🍒🍓🍇🥑#161#shorts #foryou #gardening,,Sweet Tree Fruits ,handpicked_neutral,Neutral,handpicked
AQ3iGtewmWQ,If You&#39;re Happy And You Know It + More Nursery Rhymes | 26 Mins Non-Stop Compilation | Pop Babies,Click here to subscribe: http://bit.ly/PopBabies Follow us on Instagram: http://instagram.com/Popbabies.ph #JustLoveKids ...,,Pop Babies,nursery rhymes for toddlers,Neutral,auto_labeled
bSphprunCBQ,🐶🍉 BINGO + MORE Baby Sensory Animation | Funky Fruits Calm Music and Dance Party! 🍓,"Sing along to BINGO and more with Funky Fruits in this cheerful baby sensory video! Featuring calming music, vibrant visuals, and ...",,Funky Fruits - Baby Sensory,baby sensory videos,Neutral,manually_labeled
-UeZjbYEnNs,F.A.S.T. - All episodes collection (1-3) - Animated series 2018 Moolt Kids Toons,"New great series ""F.A.S.T.""! Subscribe and wait for new episodes▻https://goo.gl/vjd2VO For many years, two clans ruled by super ...",,Moolt Kids Toons Happy Bear,kids fast cartoon compilation,Overstimulating,auto_labeled
eZ4roKAkOEg,"Count to 20 Song - Count 1-20 plus Counting Songs, Number Songs, Learning Songs for Toddlers, Kids","Count to 20 and move and dance with our super fun counting songs for kids and toddlers. This video also includes many more counting songs, number songs, and learning songs for toddlers and kids! It’s easy to count 1-20 with Rachel, Jules and their fun puppet friends. We love numbers and will learn to count with you! Also move, dance and work-out to our songs. There are so many numbers songs in this 30 minute video. 

""Georgie"" puppet  Copyright 2016 - David Fino & The Brooklyn Puppet Conspiracy.",count to 20 song count 1-20 counting songs number songs learning songs learning songs for toddlers learning songs for kids numbers songs count and move preschool toddler learning videos learning videos for kids learning videos for toddlers learn to count count to 10 count 1-10 count and dance number song toddler music class preschool music class baby music class number songs for toddlers super simple songs mother goose club teach counting babies,Ms Rachel - Toddler Learning Videos,handpicked_educational,Educational,handpicked
UladRA_7onQ,My Moms on Father’s Day?! 🤦🏾‍♀️🤷🏽‍♀️🤣 #Shorts,,,Team2Moms,handpicked_neutral,Neutral,handpicked
Tl0zhvkBqWE,How overbuilt the F14 Tomcat really was,"This video was made possible thanks to everyone on the Simple History Patreon: https://www.patreon.com/simplehistory

Check out our other Channel: https://www.youtube.com/channel/UCPdc6bs3I8s6Y4QE_3g3MZw
Discord server: https://discord.gg/JZsPQXHeYC
Become a Simple History member: https://www.youtube.com/simplehistory/join



Copyright: DO NOT translate and re-upload our content on Youtube or other social media.

SIMPLE HISTORY MERCHANDISE 

Get the Simple History books on Amazon: 

https://www.",simple history animated history educational education animation,Simple History,handpicked_educational,Educational,handpicked
e-wSeXPpL98,What to Bring to Mars | National Reading Month | Khan Academy Kids,"It's Reading Month, and we asked our team to share their favorite books in the Khan Academy Kids app! What would YOU bring to Mars? Our Partnerships Lead Allison loves this book because it captures that mix of uncertainty and excitement we all feel with new experiences — plus the illustrations are, in her words, divine. Read it free in the Khan Academy Kids app—download for Apple, Google, or Amazon devices.",,Khan Academy Kids,handpicked_educational,Educational,handpicked
EPs7feCa6Oo,Egg Surprise Colors and More Surprise Eggs Nursery Rhymes for Kids | BabyBillion,BabyBillion Brings you a compilation of 30 min nursery rhymes - Egg Surprise Colors and More! Egg Surprise Color Lyrics ...,,BabyBillion Rhymes,surprise eggs unboxing kids,Overstimulating,auto_labeled
d8mC6Apb6d8,Rounding Numbers Song | 3rd Grade - 4th Grade,"Extend this video lesson with unique worksheets, activities, and quizzes only available at https://learnmore.numberock.com/free-rwn.

Travel around the world rounding numbers to the nearest tens and hundreds place.  Cover important 3rd and 4th Grade standards as we round 3-digit numbers by air, sea, and land.",,Math Songs by NUMBEROCK,handpicked_educational,Educational,handpicked
ejGg-c6ykj4,Sharing is Caring: Chris and Mike’s Playroom Adventure,"Chris and Mike don't want to share their toys. Uncle helps children and show how important it is to share!

00:00 Sharing is Caring: Chris and Mike’s Playroom Adventure
03:38 Shark in Swimming pool and other stories for kids
08:18 Kids learn safety rules in the pool
13:00 Kids learn about firefighting and help everyone!

Please Subscribe!",vlad and niki kids kids playing video for kids kids stories learn toys kids toys chris for kids fun family learn to share share toys share sharing is caring kids learn to share,Vlad and Niki,handpicked_overstimulating,Overstimulating,handpicked
nOngPYhLF3E,Dancing Shapes | Learn Shapes | Sing Along with Hogi 5 | Shapes and Adventure | Pinkfong & Hogi,"Subscribe and watch new videos uploaded every week.
★ YouTube Channel: https://www.youtube.com/channel/UCOVY28BaODA4pvyz_9jM5OA?sub_confirmation=1

Enjoy the new Sing Along series, this time Hogi is back with Shapes and Numbers adventure!
Listen to 'Dancing Shapes' from Hogi and Pinkfong!


⭐️Check out new videos from Hogi and friends! 
https://www.youtube.com/playlist?list=PLKFsVns-WS5t2rAf9v-XSf3x_2sIYyp7X
----
Lyrics:
Roll around, circle!
Cir-cir-cir-cir, circle. 
Roll, roll round and round a",hogi pinkfong kids children wonderstar babies baby shark songs kids songs preschoolers education kids education education for children preschool learning videos for kids kids videos kids animation toys pinkfong friend pinkfong animation animation for kids stories for kids kids stories creativity learning english lagu anak anak tarian cerita historia canción infantil animación animasi colores хоги nhạc thiếu nhi пинкфонг เบบี้ชาร์ค nyanyi #forkids,Hogi! Pinkfong - Learn & Play,handpicked_educational,Educational,handpicked
4p0_ChAS8gA,QUICK! Name A Minecraft Girl!,"Don’t fall for it, guys. 
💜 Come take a look at my merch! 💜 https://aphmeow.com/
► Instagram: https://www.instagram.com/aphmau_ 

====. * ･ ｡ﾟ☆ [Friends!] ☆｡ﾟ･* .====
★ Aaron: Jason Bravura
★ Zane: Kestin Howard
★ KC: MegaMoeka
★ Kim: Corinne Sudberg

NOT an official Minecraft Product. Not approved by or associated with Mojang or Microsoft.

#Minecraft #Aphmau",Aphmau Minecraft Minecraft funny Minecraft mods Minecraft Aphmau Aphmau pranks Aphmau Minecraft Pranks Aphmau Gaming Aphmau Games Aphmau Pranks Friends Aphmau Playing As Aphmau Aaron,Aphmau,handpicked_overstimulating,Overstimulating,handpicked
HktVYkr-Q0Y,Study wm🎧📝🖇️#aesthetic #study #studywithme #minivlog #eshindiary #srilanka #youtubeshorts #asmr,#study #studywithme #studyvlog #studymotivation #studymusic #studytips #studying #students #aestheticvlog #dailyvlog #dayinmylife #cozy #morningroutine #morningmotivation #korean #koreanstyle #koreanstudy #chinesestudy #studentlife #studentmotivation #studentsuccess #studentslife #backtoschool #grwm,dayinmylife studyvlog dailyvlog studymotivation aestheticvlog schoolvlog bcktoschool,Eshin diary🍭🎀,handpicked_neutral,Neutral,handpicked
QdtdmX8reOk,How to Be Mindful in Everyday Life #shorts,"5 Ways to Be Mindful in Everyday Life #shorts 

#howtobemindful #mindfulness #mindfulliving #mindful 

Follow me👇🏼
Instagram: https://bit.ly/3v3nSal
TikTok: https://bit.ly/3yyXbMe
Facebook: https://bit.ly/3mauwIA

🧘🏻‍♀️  My top health/wellness products | https://amzn.to/3gMcM1B

🥗  Plan To Eat is the meal planning app I use, get a free 45 dial trial using this link: https://bit.ly/3oRn1pD

📍 Banish is what I use to heal my acne scars: http://bit.ly/2Lxkgu7
Use code VANESSAE at checkout to save💰
",how to be mindful ways to be mindful everyday practice mindfulness how to practice mindfulness in everyday life how to practice mindfulness how to be mindful in everyday life how to mindfulness mindfulness in everyday life how to live mindfully mindfulness be mindful mindfulness exercises for everyday life everyday mindfulness how to be mindful throughout the day how to be more mindful mindful living being mindful practicing mindfulness mindfulness practice,iamvanessae,handpicked_neutral,Neutral,handpicked
fNyorKlm7wk,Lunar Eclipse for Kids | How to make a lunar eclipse | #shorts,"Have you ever seen an eclipse before? Eclipses happen when one celestial body moves into the shadow of another. And there are two types of eclipses that can be observed from Earth: solar eclipses and lunar eclipses. Let's do an experiment to create our own lunar eclipse
  
We hope you and your student(s) enjoyed learning about lunar eclipses! If you want even more information, head over to our website and download one of our many free lesson plans, full of activities, worksheets, and more!
 
htt",lunar eclipse for kids lunar eclipse lunar eclipse vs. solar eclipse what is a lunar eclipse what causes lunar eclipse red moon why does the moon turn red science science for kids Learn Bright,Learn Bright,handpicked_educational,Educational,handpicked
jYe1tYNvG2g,Since When 1st January was Considered as New Year | Happy New Year #shorts #newyear2025 #2025,"#ytshorts 

New Year is the time or day at which a new calendar year begins and the calendar's year count increments by one. Many cultures celebrate the event in some manner. In the Gregorian calendar, the most widely used calendar system today, New Year occurs on January 1.

#happynewyear #2024 #merrychristmas #drbinocsshow #peekabookidz 

Catch Dr.Binocs At - https://goo.gl/SXhLmc

To Watch More Popular Nursery Rhymes Go To - https://goo.gl/CV0Xoo

To Watch Alphabet Rhymes Go To - https://goo.",happy new year peekaboo kidz dr binocs dr binocs show dr binocs why is january 1st the new year peekaboo kidz new year dr binocs new year why is january 1st the new year why is new year celebrated on 1st january first january 1st january new year the dr binocs show greek new year egyptian new year julius caesar enkutatash gregorian calendar doctor binocs online learning kids video video for kids new year shorts 2025 Pope Gregory XIII,Peekaboo Kidz,handpicked_educational,Educational,handpicked
O78P7EvzUEM,How Do We Make Disposable Items More Environmentally Friendly? #kidsshorts #environment #shorts,"How Do We Make Disposable Items More Environmentally Friendly?

https://learningmole.com/pricing/  

Unlock a wealth of knowledge with LearningMole and gain access to over 3,200 captivating educational videos. Take advantage of our special offer – enjoy the first 6 months of subscription for just £1.99 per month on all student and teacher plans! 

Dive deeper into immersive learning experiences with the Kidovo app - LearningMole https://www.kidovo.com/creators/learning-mole

Hello, young eco-war",How Do We Make Disposable Items More Environmentally Friendly? shorts kids shorts recycling for kids facts about recycling for kids what is recycling recycling facts for kids what recycling can kids do recycling facts how to recycle how kids can recycle learning about recycling environmental facts for kids recycling teaching resources climate change for kids what is recycling for kids reduce reuse recycle for kids recycling for kids video recycling,LearningMole,handpicked_educational,Educational,handpicked
suQDwZcnJdg,Gravity | The Dr. Binocs Show | Learn Videos For Kids,"Learn about Gravity with Dr. Binocs.

Have you ever wondered why do objects fall down when they're dropped? Or why do we ultimately go down after we jump? Join Dr. Binocs as he Zooms In on the concept of gravity which is an invisible force that pulls you back to the Earth's surface. 

Share on Facebook - http://goo.gl/fo5a8L
Tweet about this - http://goo.gl/vRf1sE
Share on G+ - http://goo.gl/KGU1rh

To enjoy learning with Dr. Binocs, subscribe & stay tuned:
http://www.youtube.com/subscription_ce",gravity what is gravity force of gravity gravity video for kids learn about gravity kids science videos issac newton apple concept for kids gravitation parts of a plant educational videos for kids Dr. Binocs learn series for kids interactive learning preschool learning kindergarten learn series learn series for kids between 6 – 12 makemegenius basic science concepts for kids volcano peekaboo super simple songs hoopla kids nursery rhymes compilation,Peekaboo Kidz,handpicked_neutral,Neutral,handpicked
1gPPlRi_ULg,The 12 months of the year in Switzerland 🇨🇭,#Switzerland #Nature #Alps #JetmirInSwitzerland #switzerland #swiss #schweiz #qatar #monaco  #lauterbrunnen #berlin #japan #switzerlandmylove  #palestina #canada #ukraine  #bern  #basel #stgallen #berncity #lungern #paraguay #riodejaneiro #uruguay #brasil #argentina #kuba #cuba #africa #senegal #kamerun #wiena #paris #madrid #barcelona #istanbul #dubai #abudhabi #qatar #riad #saudiarabia #marocco #algeria #iran #irak #palestina #sudan #jordan #liban #lebanon #moscow #russia  #china #japan #korea,,Jetmir in Switzerland,handpicked_neutral,Neutral,handpicked
eSD6nykMVKs,EDIT TUTORIAL 🔥,"#roblox #edit #vanilbean 

tc:me

💖My Socials💖
TikTok: @vanilbean
Insta: @vanilbeanz
Roblox profile: @vanilbean 
Roblox group: vanil's beans

#robloxedit #mm2 #robloxgames #edits",,vanilbean,handpicked_overstimulating,Overstimulating,handpicked
i_Df8jZdEak,The Land Before Time | The Missing Fast-Water Adventure | Compilation | Kids Cartoon | Kids Videos,Watch More The Land Before Time All Videos: ...,,The Land Before Time,kids fast cartoon compilation,Overstimulating,auto_labeled
yx4L6cjxYb4,PJ Masks Season 4 | Heroes of the Sky Pt. 1 | COMPILATION | Cartoon for kids,"Subscribe for more PJ Masks videos: https://bit.ly/3YTZcli Owlette argues with Luna, imperils a mission - and loses all memory of ...",,PJ Masks Season 4,kids fast cartoon compilation,Overstimulating,auto_labeled
lgxJRTPZFU8,Top 5 Easy Science Experiments for kids to do at home with Ryan&#39;s World!,Top 5 Easy Science Experiments for kids to do at home with Ryan's World! Fun DIY learning activities for family to do together!,,Ryan's World,kids science experiments,Educational,auto_labeled
020g-0hhCAU,Baby Shark | @CoComelon Nursery Rhymes &amp; Kids Songs,"Subscribe for new videos every week: https://www.youtube.com/c/Cocomelon?sub_confirmation=1 Lyrics: Baby Shark, do do do ...",,Cocomelon - Nursery Rhymes,children's music videos,Neutral,manually_labeled
cdjkFnPyGYI,HOT TO GO,"Teacher Tip for National Reading Month 📚🎶

Make Friday the reward they read for all week. When your class logs and completes their weekly reading log minutes, they earn a @KIDZBOP dance break on GoNoodle. 💃
It’s simple:
 ✅ Read all week
 ✅ Log minutes
 ✅ Friday = Read & Rock Party

Because Reading + Movement = Brain Power and nothing says “we crushed our goals” like a classroom bop. Head to GoNoodle.com and explore the KIDZ BOP channel now!",,GoNoodle | Get Moving,handpicked_educational,Educational,handpicked
qMkXnwRlpRo,Learn Colors With Lucas and Ruby | Learning Video For Toddlers | 🌈 Colour For Kids RV AppStudios,"🎨 Help your baby, toddler, preschooler or kindergartener learn all the colors of the rainbow with this adorable learning video for kids! 🖌️ Learn all the names of colors in a family friendly flash card environment designed just for kids. It's like going to school, but way more fun! 🤩 

✏️ Learn colors through exciting and interactive flashcards, all in a delightful learning environment! 🍭 Great for kids of all ages, and the perfect way to teach all of the colors of the rainbow to preschoolers an",colors song for kıds colors for kids colors name colors song color flashcards color flashcards for toddlers educational videos for kids white flashcards for kids black Colour vocabulary red color rhymes for children Learn colors colours blue teach kids flashcard fun kids videos yellow kids learn color kids vocabulary color names for kids english color vocabulary for kids RV kids RVAppStudios Lucas and Ruby learn colors,Toddler Learning Videos For Kids - Lucas & Friends,handpicked_educational,Educational,handpicked
34MUgVZodn4,Let&#39;s Pop The Alphabet Balloon + ABC Song + More Nursery Rhymes &amp; Kids Songs - Hogi Pinkfong,"You're watching ""Learn ABC Songs"" compilation, an interactive series prepared to you by Pinkfong & Hogi! ⭐️Subscribe Hogi!",,Hogi! Pinkfong - Learn & Play,nursery rhymes for toddlers,Neutral,auto_labeled
AFcMDiDZbws,"⚾ No, David! | Animated (Kids Books Read Aloud)","David is always getting into mischief. He is learning self-control. Enjoy this animated kid's book read aloud of, ""No, David!",,Toadstools and Fairy Dust,animated stories for kids,Neutral,manually_labeled
o4ILV1xYBRk,Moon Rocket on the Move,"Blink and you’ll miss it: 11 hours of rolling out our Moon rocket in less than 60 seconds.
 
At 11:21 a.m. EDT, our @NASAArtemis II rocket and Orion spacecraft reached Launch Pad 39B after a 4‑mile journey from @NASAKennedy’s Vehicle Assembly Building. Traveling at a maximum speed of just 0.82 mph, our crawler-transporter 2 carried the 322‑foot‑tall Moon rocket slowly and steadily to the launch pad.
 
Credit: NASA/Brandon Hancock
 
Next, teams are getting ready for the final checks before four a",,NASA,handpicked_educational,Educational,handpicked
Elt0FydnXmk,Head Should Knees &amp; Toes| Nursery Rhymes &amp; Kids Songs | NuNu Tv #toddlersongs #singalong,Subscribe NuNu Tv For New Kids Songs Every Week ...,,NuNu Tv - Nursery Rhymes,nursery rhymes for toddlers,Neutral,auto_labeled
a1pP8dM6cjg,"How to Wash and Brush Your Hair - Life Skills for Kindergarten, First, and Second Grade!","In this life skills lesson for kindergarten through 2nd grade, students will learn how to properly care for hair and how to make a plan for their specific hair care routine. This lesson is from Miacademy's K-2 Life Skills course. Check out our playlists for more kindergarten, first-, and second-grade life skills lessons!

We hope you are enjoying our large selection of engaging core & elective K-12 learning videos. New videos are added all the time - make sure you come back often to learn more! ",,Miacademy & MiaPrep Learning Channel,handpicked_neutral,Neutral,handpicked
50klx9Q5ls8,"Baby Learning Videos | Babies and Toddlers Learn Colors, First Words, Shapes, ABC | Lucas &amp; Friends",Get ready for a mega-dose of early education for kids with Lucas & Friends! ✏️ This time around it's a huge educational ...,,Toddler Learning Videos For Kids - Lucas & Friends,kids educational videos,Educational,manually_labeled
WcCjyLEj7bk,Study with me 📚✨#trending #study #studytips #aesthetic #studywithme #studyvlog #shorts #youtube,,,Thatstudygirl🌷,handpicked_neutral,Neutral,handpicked
JDOVK-oyu6M,@Numberblocks  & @officialalphablocks  | Alert! Alphablocks and Numberblocks First Meet | Making Friends,"Two worlds collide as the Alphablocks meet the Numberblocks for the very first time. Will they be friends? Learn how letters and numbers work with the Alphablocks and the Numberblocks. This episode has fun with counting, number magic, the alphabet and the magic words: top, up, pot, pit, pet, pat, tap, lock, block, Numberblocks and home.

For more, download the official Numberblocks apps;
https://www.learningblocks.tv/numberblocks/apps

Official website;
https://www.learningblocks.tv/numberblocks",number blocks numberblocks numberblocks full episodes numberblocks episodes cbeebies learn to count learn maths maths for kids learning cartoons for kids cartoons for kids basic maths sums for kids easy sums alphablocks numbers for kids count to ten count to five,Numberblocks,handpicked_educational,Educational,handpicked
P0F9wCEYOKM,Kate Skateboarding But It Gets Faster Every Time,Kate Skateboarding But It Gets Faster Every Time,,Ryan's World,handpicked_overstimulating,Overstimulating,handpicked
H2EsQBxJHrY,Simon *Super-duper fast* 30min COMPILATION Season 2 Full episodes Cartoons for Children,Full Episodes of Simon in English ...,,Simon Super Rabbit [English],kids fast cartoon compilation,Overstimulating,auto_labeled
aRjogNqeltc,"Who's the King of the Sea? Shark VS Killer Whale | Pinkfong, Did You Know That? | Pinkfong Official","Who’s the King of the Sea? 🦈🐋

You're watching ""Who's the King of the Sea? Shark VS Killer Whale | Pinkfong, Did You Know That?"", an educational and interactive series prepared to you by Pinkfong!

Subscribe Pinkfong Baby Shark Official YouTube channel NOW: https://www.youtube.com/@Pinkfong?sub_confirmation=1

🎥 NEW videos EVERY WEEK:
https://www.youtube.com/playlist?list=PLQiKLJnked47CjZv_84RL77ebulATg9F7

📺 Perfect for TV Time! | 60+ Minute Favorites :
https://www.youtube.com/playlist?list=PLQ",babies baby baby shark baby shark challenge baby shark dance baby shark for kids baby shark remix baby shark song cartoon cartoon carttoon collaboration dance for kids family fun song kids kids animation kids education kids shorts kids video kpop kpop remix nursery rhymes pinkfong play baby shark shark song shorts for kids songs songs for children songs for kids toddlers videos videos for kids,Baby Shark - Pinkfong Kids’ Songs & Stories,handpicked_overstimulating,Overstimulating,handpicked
-sqB4QKHpRI,Hutch Smash! Part 2 *Find the Blooper Easter Egg*,"After The Ninja Kidz calm Redick down out of Smash Mode, now HUTCH has gone full SMASH MODE!!! He won't be easy to stop, and first they have to figure out what made him so mad!

This is an ad for Cirkul. @drinkcirkul
Get up to 35% off your 1st order with our link: drinkcirkul.com/ninjakidz 
#drinkcirkul & #cirkulpartner

NEW Ninja Kidz Toys! Available now
Amazon = https://amzn.to/4eKUDyq
Target = https://bit.ly/4evtcc8
Also available at Walmart!

Check out our Ninja Kidz Action Parks!
https://ww",#ninjakidz #smash #cirkul,Ninja Kidz TV,handpicked_overstimulating,Overstimulating,handpicked
7mIjHxX-g2Q,From Boring Bedside to Ultimate Cozy Corner 😍,,,Magic Peach ,handpicked_neutral,Neutral,handpicked
8cgO0Dz6rtk,Think you’re smarter than a 3rd Grader?,"#shorts #mathriddles  #smarterthana3rdgrader #brainchallenge  #thinkandlearn #education 

Put your math skills to the test with our new video short series: ""Think you're smarter than a 3rd grader?"" Join us at The Math Playground to solve interesting and challenging riddles, a perfect blend of fun and learning!

Keywords: math riddle, addition puzzle, math challenge, video short, education, problem solving, brain teaser, logic puzzle, mental exercise, stimulating content, learning through play, f",math riddle addition puzzle math challenge video short education problem solving brain teaser logic puzzle mental exercise stimulating content learning through play fun math mathematical fun number puzzle engaging math content think and learn,The Math Playground,handpicked_educational,Educational,handpicked
f5HQzdwQKLA,Eggs Surprise | The Best Kids Songs &amp; Nursery Rhymes | Nick and Poli,"Let's break open the ""Surprise Eggs"" and find out what the most beloved children's songs are in them. Bang, bang, bang! Wow ...",,Nick and Poli - Nursery Rhymes & Kids Songs,surprise eggs unboxing kids,Overstimulating,auto_labeled
vJoI0b-GAkk,KITCHEN CLEANING ASMR,,,sweetandtidy,handpicked_neutral,Neutral,handpicked
LID5iG6ozf4,Running River sound - Natural shot #river #water #relaxation #viral,,,Natural Shot,handpicked_neutral,Neutral,handpicked
XSlJsW4VysI,Community Helpers Song + More Little Angel Kids Songs &amp; Nursery Rhymes,"Baby John, Jack and Jill are playing dress up in the backyard as community workers and robbers! When Jack gets a boo boo, ...",,Little Angel: Nursery Rhymes & Kids Songs,nursery rhymes for toddlers,Neutral,auto_labeled
qtf8DOUq8uk,Playtime With Al | Sensory Stimulation for Child Development | Early Learning Videos for Toddlers,Grab the download and unlock bonus content in seconds! Get the First App today: ...,,First University - Early Learning for Toddlers,baby sensory videos,Neutral,manually_labeled
d7Gdv5qI6FA,"Say ""Mama"" with Ms. Rachel 🫶 Ms. Rachel is now playing on Netflix!","Say ""Mama"" with Ms. Rachel 🫶 Ms. Rachel is now playing on Netflix!

SUBSCRIBE: http://bit.ly/NetflixJrSubscribe

About Netflix Jr.:
Welcome to the official Netflix Jr. channel! Where kids can learn, sing and play with their favorite Netflix characters - from StoryBots to Super Monsters and everyone in between. 

About Netflix:
Netflix is one of the world's leading entertainment services, with 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide var",Netflix Jr Netflix Original Series Netflix Series baby talk first words for toddlers kids & family kids family kids movies kids songs kids tv learn to talk miss rachel mrs rachel ms rachel ms rachel clips ms rachel netflix ms rachel netflix jr ms rachel say mama netflix kids nursery rhymes speech therapy for toddlers talk time talking time toddler learning video toddler songs toddler videos,Netflix Jr.,handpicked_educational,Educational,handpicked
bSLFbPULlg8,"Surprise Eggs Kids Songs | Surprise Eggs, Crack Crack Crack + LiaChaCha Kids Songs &amp; Nursery Rhymes",LiaChaCha - Kids Songs & Nursery Rhymes ...,,LiaChaCha - Nursery Rhymes & Baby Songs,surprise eggs unboxing kids,Overstimulating,manually_labeled
